date,country,value,days_since100,perc_growth,cases_per1m,cases_perICU
2020-03-10,Germany,1457,9,1.2389455782312926,17.445540607908242,0.06978216243163297
2020-03-11,Germany,1908,10,1.3095401509951956,22.845635881872976,0.09138254352749191
2020-03-12,Germany,2078,11,1.0890985324947589,24.881148512857468,0.09952459405142987
2020-03-13,Germany,3675,12,1.7685274302213667,44.00299364039999,0.17601197456159998
2020-03-14,Germany,4585,13,1.2476190476190476,54.89897301802285,0.2195958920720914
2020-03-15,Germany,5795,14,1.2639040348964012,69.38703350914774,0.27754813403659095
2020-03-16,Germany,7272,15,1.2548748921484039,87.07204619128946,0.3482881847651578
2020-03-17,Germany,9257,16,1.272964796479648,110.8396495589613,0.44335859823584517
2020-03-18,Germany,12327,17,1.3316409203845738,147.59861295379883,0.5903944518151953
2020-03-19,Germany,15320,18,1.2428003569400503,183.43560886283754,0.7337424354513501
2020-03-20,Germany,19848,19,1.29556135770235,237.652086469295,0.9506083458771799
2020-03-21,Germany,22213,20,1.119155582426441,265.9696592474027,1.063878636989611
2020-03-22,Germany,24873,21,1.1197496961238915,297.8194451204542,1.1912777804818167
2020-03-23,Germany,29056,22,1.1681743255739154,347.9050294463843,1.3916201177855372
2020-03-24,Germany,32986,23,1.1352560572687225,394.96129203326103,1.579845168133044
2020-03-25,Germany,37323,24,1.131480021827442,446.89081133078884,1.7875632453231554
2020-03-26,Germany,43938,25,1.1772365565469014,526.0961998835088,2.1043847995340355
2020-03-27,Germany,50871,26,1.1577905230096954,609.109194416541,2.436436777666164
2020-03-28,Germany,57695,27,1.134143225020149,690.8170661450007,2.763268264580003
2020-03-29,Germany,62095,28,1.0762631077216396,743.5009224763639,2.974003689905456
2020-03-30,Germany,66885,29,1.0771398663338434,800.8544842552799,3.2034179370211193
2020-03-31,Germany,71808,30,1.0736039470733347,859.8005353278484,3.4392021413113936
2020-04-01,Germany,77872,31,1.0844474153297683,932.4084682354363,3.729633872941745
2020-04-02,Germany,84794,32,1.088889459626053,1015.2897531276401,4.06115901251056
2020-04-03,Germany,91159,33,1.0750642734155718,1091.5017407524417,4.366006963009767
2020-02-23,Italy,155,0,,2.5598647070214198,
2020-02-24,Italy,229,1,1.4774193548387098,3.781993663921969,
2020-02-25,Italy,322,2,1.4061135371179039,5.31791248813482,
2020-02-26,Italy,453,3,1.406832298136646,7.481411046972279,
2020-02-27,Italy,655,4,1.445916114790287,10.81749279418729,
2020-02-28,Italy,888,5,1.3557251908396946,14.665547482806586,
2020-02-29,Italy,1128,6,1.2702702702702702,18.629208964646203,
2020-03-01,Italy,1694,7,1.50177304964539,27.976843959317968,
2020-03-02,Italy,2036,8,1.2018890200708383,33.62506157093942,
2020-03-03,Italy,2502,9,1.2288801571709234,41.321170948178015,
2020-03-04,Italy,3089,10,1.2346123101518784,51.01562632251075,
2020-03-05,Italy,3858,11,1.2489478795726772,63.715858320571854,
2020-03-06,Italy,4636,12,1.2016588906169,76.56472762420195,
2020-03-07,Italy,5883,13,1.2689818809318378,97.15925207359363,
2020-03-08,Italy,7375,14,1.2536121026687064,121.80001428569659,
2020-03-09,Italy,9172,15,1.2436610169491524,151.47792963097072,
2020-03-10,Italy,10149,16,1.1065198430004362,167.61333491329285,
2020-03-11,Italy,12462,17,1.22790422701744,205.81312244452215,
2020-03-12,Italy,12462,18,1.0,205.81312244452215,
2020-03-13,Italy,17660,19,1.41710800834537,291.65942403869855,
2020-03-14,Italy,21157,20,1.1980181200453002,349.41327488033664,
2020-03-15,Italy,24747,21,1.1696837925981944,408.7030445461876,
2020-03-16,Italy,27980,22,1.1306420980320846,462.0968677578021,
